variables,score
AK,0.05467025433959183
NO,0.03706155366398223
NKM,0.03341174050847928
ROIC,0.031882576501700344
FBO,0.030133655614951627
FM,0.027971761810231532
KO,0.01913791365553852
SDH,0.011713269800034398
BKM,0.0073221017711448955
OK,0.000818632449995027
CO,0.0
LO,0.0
ADH,0.0
