variables,score
AK,0.05744860292490239
NO,0.04377664081155852
NKM,0.03539244264740926
FBO,0.03247685859106597
ROIC,0.027926880299168788
FM,0.023260430595735793
KO,0.01985621785485514
SDH,0.012240148570584308
BKM,0.009317112152231077
CO,0.003738399540430315
OK,0.0006403121767382114
LO,0.0
ADH,0.0
