variables,score
AK,0.05587804502523053
NKM,0.03502012392066023
FBO,0.03152596934903751
ROIC,0.030564011100856714
NO,0.02849362721630877
FM,0.02204407779710449
KO,0.021610956318454333
SDH,0.012049817921392814
BKM,0.009867142290868713
CO,0.007589140554875806
ADH,0.0027766705922118717
OK,0.0014666131612670608
LO,0.0
