variables,test,train
3,0.6736842105263158,0.7519788918205804
4,0.6842105263157895,0.783641160949868
5,0.7368421052631579,0.8311345646437994
6,0.7789473684210526,0.8364116094986808
7,0.7263157894736842,0.8390501319261213
8,0.8,0.8575197889182058
9,0.8,0.8759894459102903
10,0.7789473684210526,0.9023746701846965
11,0.7578947368421053,0.9076517150395779
12,0.7684210526315789,0.9050131926121372
13,0.7684210526315789,0.9182058047493403
