variables,test,train
3,0.6631578947368421,0.5989445910290238
4,0.631578947368421,0.6279683377308707
5,0.6736842105263158,0.6886543535620053
6,0.6736842105263158,0.7176781002638523
7,0.7052631578947368,0.7730870712401056
8,0.7052631578947368,0.783641160949868
9,0.6947368421052632,0.820580474934037
10,0.8,0.8364116094986808
11,0.7789473684210526,0.8390501319261213
12,0.7473684210526316,0.862796833773087
