model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
DT,7,0.852,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4}",0.852,0.852,0.852,0.846,0.693
LDShrink,8,0.704,"{'n_components': 1, 'solver': 'lsqr'}",0.712,0.704,0.683,0.66,0.343
LDSVD,8,0.691,"{'n_components': 1, 'store_covariance': True}",0.695,0.691,0.669,0.647,0.314
XGB,8,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0
NB,8,0.586,"{'priors': None, 'var_smoothing': 1e-09}",0.655,0.586,0.578,0.62,0.219
KNN,8,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
svm,8,0.723,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.732,0.723,0.705,0.682,0.387
random_forest,8,0.902,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.907,0.902,0.901,0.886,0.792
DT,8,0.884,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.884,0.884,0.883,0.874,0.756
LDShrink,9,0.686,"{'n_components': 1, 'solver': 'lsqr'}",0.685,0.686,0.668,0.645,0.309
LDSVD,9,0.689,"{'n_components': 1, 'store_covariance': True}",0.69,0.689,0.668,0.646,0.311
XGB,9,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0
NB,9,0.591,"{'priors': None, 'var_smoothing': 1e-09}",0.662,0.591,0.584,0.626,0.229
KNN,9,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
svm,9,0.66,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.68,0.66,0.61,0.597,0.215
random_forest,9,0.921,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.924,0.921,0.92,0.908,0.832
DT,9,0.931,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.931,0.931,0.931,0.927,0.857
LDShrink,10,0.681,"{'n_components': 1, 'solver': 'lsqr'}",0.68,0.681,0.66,0.638,0.294
LDSVD,10,0.683,"{'n_components': 1, 'store_covariance': True}",0.684,0.683,0.663,0.64,0.299
XGB,10,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.25, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0
NB,10,0.591,"{'priors': None, 'var_smoothing': 1e-09}",0.678,0.591,0.579,0.632,0.237
