variables,test,train
3,0.6631578947368421,1.0
4,0.6421052631578947,1.0
5,0.6526315789473685,1.0
6,0.7578947368421053,1.0
7,0.7684210526315789,1.0
8,0.8210526315789474,1.0
9,0.8421052631578947,1.0
10,0.8421052631578947,1.0
11,0.8631578947368421,1.0
12,0.8105263157894737,1.0
13,0.8421052631578947,1.0
