0,1,2,3,4,5,6
svm,3,0.6120701754385965,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6072237228546316,0.9822222222222223,0.7504276001938187
svm,4,0.6516842105263158,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6585087719298245,0.8577777777777778,0.7448883711900602
svm,5,0.6544561403508772,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6464745854248478,0.9244444444444445,0.7600635110524834
svm,6,0.6544912280701755,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6512771905936674,0.8977777777777778,0.7546599574901461
svm,7,0.6703157894736842,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6634153960793305,0.9022222222222223,0.763992761263317
svm,8,0.6807719298245614,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6877430645579465,0.8444444444444444,0.7577007772164994
svm,9,0.6544561403508772,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6638379942140791,0.8444444444444444,0.7427024180252795
svm,10,0.6596842105263158,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6693080571611585,0.8400000000000001,0.7444717445759425
svm,11,0.6834736842105263,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6790648025202426,0.8844444444444444,0.7679648687884091
svm,12,0.6834736842105263,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6830823794191755,0.8711111111111111,0.7652731160966564
svm,13,0.6782105263157895,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.6789635392610845,0.8666666666666666,0.7609515119905443
