model;variable_count;test_accuracy;test_params;test_precision;test_recall;test_f1;test_roc_auc;test_kappa
LDSVD;11;0,726;{'n_components': 1, 'store_covariance': True};0,724;0,726;0,706;0,664;0,358
LDSVD;12;0,726;{'n_components': 1, 'store_covariance': True};0,724;0,726;0,706;0,664;0,358
XGB;4;0,716;{'colsample_bytree': 0,7, 'learning_rate': 0,001, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'objective': 'binary:logistic', 'subsample': 0,8};0,748;0,716;0,669;0,626;0,292
KNN;4;0,716;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 26, 'p': 1, 'weights': 'distance'};0,708;0,716;0,708;0,674;0,363
random_forest;5;0,716;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50};0,711;0,716;0,713;0,686;0,378
svm;6;0,716;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,717;0,716;0,688;0,644;0,321
DT;6;0,705;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3};0,696;0,705;0,695;0,66;0,335
svm;8;0,705;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,696;0,705;0,695;0,66;0,335
random_forest;11;0,705;{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50};0,698;0,705;0,698;0,665;0,343
DT;13;0,705;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2};0,714;0,705;0,708;0,695;0,381
svm;10;0,695;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,684;0,695;0,683;0,645;0,307
LDSVD;13;0,695;{'n_components': 1, 'store_covariance': True};0,684;0,695;0,679;0,639;0,298
svm;13;0,695;{'C': 100, 'degree': 3, 'kernel': 'linear'};0,689;0,695;0,665;0,621;0,27
XGB;3;0,684;{'colsample_bytree': 0,7, 'learning_rate': 0,2, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,684;0,684;0,684;0,661;0,321
NB;5;0,684;{'priors': None, 'var_smoothing': 1e-09};0,673;0,684;0,656;0,613;0,25
DT;7;0,684;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4};0,698;0,684;0,688;0,679;0,345
svm;11;0,684;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,672;0,684;0,67;0,631;0,278
svm;12;0,684;{'C': 1000, 'degree': 3, 'kernel': 'linear'};0,673;0,684;0,656;0,613;0,25
LDShrink;4;0,674;{'n_components': 1, 'solver': 'lsqr'};0,681;0,674;0,611;0,575;0,176
LDSVD;4;0,674;{'n_components': 1, 'store_covariance': True};0,681;0,674;0,611;0,575;0,176
DT;10;0,674;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3};0,71;0,674;0,679;0,688;0,349
