model;variable_count;train_accuracy;best_params;train_precision;train_recall;train_f1;train_roc_auc;train_kappa;;;;;;
DT;10;0;836;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3};0;836;0;836;0;835;0;822;0;655
NB;11;0;586;{'priors': None, 'var_smoothing': 1e-09};0;675;0;586;0;573;0;628;0;229
KNN;11;1.0;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;11;0;731;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0;738;0;731;0;716;0;692;0;408
random_forest;11;0;96;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0;962;0;96;0;96;0;953;0;917
DT;11;0;807;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3};0;81;0;807;0;808;0;805;0;604
NB;12;0;612;{'priors': None, 'var_smoothing': 1e-09};0;692;0;612;0;604;0;65;0;271
KNN;12;1.0;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;12;0;731;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0;738;0;731;0;716;0;692;0;408
random_forest;12;0;902;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0;907;0;902;0;901;0;886;0;792
DT;12;0;955;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4};0;955;0;955;0;955;0;952;0;907
NB;13;0;583;{'priors': None, 'var_smoothing': 1e-09};0;679;0;583;0;568;0;627;0;228
KNN;13;1.0;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;13;0;686;{'C': 100, 'degree': 3, 'kernel': 'linear'};0;689;0;686;0;663;0;64;0;301
random_forest;13;0;95;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0;952;0;95;0;949;0;94;0;894
DT;13;0;908;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};0;909;0;908;0;908;0;908;0;81
