variables,test,train
3,0.47368421052631576,0.5092348284960422
4,0.5157894736842106,0.5118733509234829
5,0.5473684210526316,0.5197889182058048
6,0.5263157894736842,0.47757255936675463
7,0.4842105263157895,0.47757255936675463
8,0.4842105263157895,0.47229551451187335
9,0.4842105263157895,0.48812664907651715
10,0.5052631578947369,0.47229551451187335
11,0.47368421052631576,0.47229551451187335
12,0.47368421052631576,0.48812664907651715
