variables,test,train
3,0.6526315789473685,1.0
4,0.7157894736842105,1.0
5,0.6842105263157895,1.0
6,0.6421052631578947,1.0
7,0.6631578947368421,1.0
8,0.7052631578947368,1.0
9,0.7157894736842105,1.0
10,0.7894736842105263,1.0
11,0.7684210526315789,1.0
12,0.7894736842105263,1.0
