CO,LO,NO,FBO,KO,ADH,SDH,AK,BKM,FM,NKM,OK,ROIC
474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0
1.9493881856540085,1.4939240506329114,0.7218776371308018,26.75607594936709,53.85069620253164,0.9918987341772152,9.967763713080169,8.936350210970463,25.57291139240506,16.003586497890296,11.278945147679323,19.869135021097044,22.597805907172997
1.9429112887763635,1.822203960977868,1.6931321469469747,20.46369313660527,25.22644746558957,0.7594655558528877,15.626194197377561,12.546105785135385,20.08702033675093,19.255957541807945,25.41908907437857,29.365061352128805,36.6257693947757
0.1,0.09,0.0,0.0,0.94,0.0,-0.23,-38.1,-37.97,-84.56,-116.13,-118.07,-103.28
1.0,0.69,0.09,9.03,35.807500000000005,0.49,3.17,1.7149999999999999,13.85,7.92,1.76,4.2225,4.5925
1.3250000000000002,0.97,0.27,25.545,57.035,0.83,5.305,6.359999999999999,22.265,15.2,7.665,18.545,21.049999999999997
2.15,1.51,0.6074999999999999,39.612500000000004,72.7825,1.2475,9.870000000000001,14.4925,32.5025,22.3575,16.9925,32.2125,42.095
14.67,14.59,17.3,158.88,260.51,4.33,124.61,75.01,118.49,94.93,177.11,339.54,199.0
