variables,score
ROIC,0.051900727528739754
SDH,0.0324813021081678
KO,0.024864293035969487
AK,0.021505418396460918
NKM,0.016022837400741397
NO,0.008055976227407502
FM,0.0037940269126992554
FBO,0.0
