variables,score
AK,0.05246343630998895
FBO,0.035030452442128324
NKM,0.03457479451963463
ROIC,0.02917261065882304
FM,0.02199042188901834
KO,0.021480226757345067
SDH,0.015995757705940417
CO,0.01333772041339465
BKM,0.007966733744890764
NO,0.00016753585503481716
LO,0.0
ADH,0.0
OK,0.0
