variables,score
FM,0.05370862720056335
ROIC,0.026575832961770907
KO,0.02630650126314693
SDH,0.020979590497215206
BKM,0.016126777061643338
FBO,0.007938164470786546
NKM,0.0074585628253276415
CO,0.00428144718540957
NO,0.0
AK,0.0
