variables,score
AK,0.05554240348054207
FBO,0.03941011120219984
NKM,0.03725621998586992
NO,0.031908845630302496
ROIC,0.02643920365326413
FM,0.02451301064578404
KO,0.022350898514092776
SDH,0.015968420415944706
BKM,0.007825249584419103
CO,0.0011028260187804229
OK,0.0006442764910152832
LO,0.0
ADH,0.0
