variables,score
AK,0.055155136311815456
FBO,0.04359754648140757
NKM,0.036439280244879635
NO,0.02846090384497768
ROIC,0.028260916867382635
FM,0.027818557068419292
KO,0.01887825769967999
SDH,0.012532036125130208
CO,0.008900583816538576
BKM,0.005972560548185735
LO,0.0
ADH,0.0
OK,0.0
