variables,score
ROIC,0.05739251157134251
SDH,0.033559181775321356
KO,0.024013437925992642
AK,0.02117884038000928
NKM,0.01017983780774201
FM,0.003812286567018486
NO,0.0011552029500518923
FBO,0.0
