hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
CEMTS;5.57;3.08;1.15;1.27;15.26;1.26;3.63;22.16;18.07;14.04;17.61;26.09;14.37;0
BURVA;1.62;1.03;0.25;47.78;68.13;1.75;5.88;1.36;14.6;7.63;0.78;4.05;18.05;0
BURCE;1.02;0.63;0.22;28.23;53.09;0.54;3.9;1.88;13.87;2.68;3.47;4.04;0.85;0
BRSAN;0.99;0.62;0.25;35.42;55.85;0.5;2.88;-0.14;9.39;6.86;-0.28;-0.33;0.64;1
PRKME;2.44;2.4;0.96;0;10.15;0.07;20.21;8.82;26.37;54.05;17.6;9.96;-25.54;1
ENJSA;0.83;0.81;0.09;39.56;71.01;0.91;10.92;4.53;25.92;16.27;5;15.55;-28.63;1
YAYLA;0.55;0.53;0.24;33.57;41.27;0.09;22.61;-3.35;-37.97;-50.43;-35.44;-5.51;-17.22;0
AYEN;0.34;0.34;0.12;69.18;73.8;0.19;1.75;-3.07;33.33;43.65;-16.11;-12.4;6.83;1
ORGE;3.21;3.15;0.76;19;39.45;0.48;12.03;15.73;39;35.51;33.07;25.55;29.97;0
YYAPI;0.72;0.62;0.05;3.95;44.83;0.01;0.13;0.34;15.87;-31.91;49.85;0.64;-19.89;0
SANKO;14.67;14.59;1.85;0;8.61;2.01;48.76;9.95;3;0.47;4.95;11.18;-3.98;1
MIPAZ;2.47;0.88;0.55;0.01;14.02;0;0.04;10.07;-7.38;-29.01;34.86;11.65;-76.64;1
MEPET;0.34;0.3;0.01;14.35;52.11;1.03;72.41;-4.07;4.57;6.36;-3.97;-8.17;4.57;0
AKSEN;1.05;1.01;0.1;30.89;51.33;0.8;28.57;5.22;16.56;21.25;6.5;12.19;17.35;1
BUCIM;3.37;2.18;0.91;10.03;23.95;1.11;4.11;1.09;10.75;4.45;0.98;1.95;1.49;0
OYAKC;4.52;3.4;2.05;0;19.63;0.67;3.42;9.7;18.95;10.76;14.41;12.07;0.59;1
CIMSA;0.78;0.65;0.2;45.07;60.64;0.48;7.58;0.36;17.62;15.7;0.76;0.97;10.37;1
AKCNS;1.18;0.9;0.23;23.71;48.2;0.88;7.38;3.61;13.85;13.4;4.12;7.09;18.15;1
TTRAK;1.77;1.19;0.68;47.9;73.8;1.27;3.8;3.72;14.41;9.8;2.94;15.81;25.87;1
TOASO;1.14;1.02;0.46;30.84;66.2;1.46;18.09;11.48;13.22;13.12;7.84;36.88;25.15;1
TMSN;1.42;1.05;0.22;23.36;40.15;0.38;1.99;-3.56;14.53;-0.81;-9.36;-6.07;-2.13;0
OTKAR;1.87;1.13;0.21;29.95;76.19;0.98;2.07;14.12;37.81;17.76;14.46;68.45;42.58;1
KARSN;0.94;0.85;0.04;59.07;73.83;0.7;9.18;0.74;18.5;14.45;1.06;3.62;58.71;1
FROTO;1.17;0.96;0.37;37.84;71.57;2.65;19.06;13.24;10.24;8.54;5;45.79;94.77;1
PARSN;0.69;0.36;0.03;49.64;58.14;0.31;2.83;-0.24;22.42;18.1;-0.76;-0.7;2.91;1
JANTS;2.33;1.6;0.61;14.04;32.71;1.38;4.89;20.99;23.09;15.12;15.25;32.22;37.47;0
GOODY;1.88;1.24;0.05;4.25;43.25;1.9;6.91;17.09;14.61;9.81;8.97;34.61;24.24;1
EGEEN;3.69;2.95;1.75;7.41;21.85;1.03;5.21;24;30.4;27.74;23.35;36.27;53.94;1
ISMEN;1.16;0.87;0.32;45.97;63.78;0.93;4.12;6.68;23.16;17.58;7.21;20.09;54.58;1
BRISA;0.95;0.68;0.38;60.18;83.01;0.72;4.51;2.32;23.6;17.16;3.2;12.54;29.3;1
KLKIM;1.11;0.98;0.38;18.02;56.56;1.16;8.69;8.94;35.73;14.61;7.72;20.93;45;1
TUPRS;0.99;0.66;0.38;34.36;76.34;1.88;10.44;1.1;5.45;4.25;0.59;4.62;38.35;1
SASA;0.48;0.25;0.04;55.84;66.66;0.46;3.73;17.88;11.41;8.26;38.5;49.26;47.7;1
PETKM;1.86;1.68;0.79;57.59;67.24;0.85;9.78;5.94;13.72;13.11;6.97;18.17;21.41;1
KORDS;1.18;0.71;0.28;43.43;60.68;0.86;3.64;5.66;19.21;14.55;6.61;16.65;21.77;1
HEKTS;2.62;1.9;0.49;48.48;58.6;0.77;1.59;15.21;42.8;34.85;19.87;38.46;56.02;1
GUBRF;0.88;0.49;0.07;38.25;80.38;1.01;2.99;-3.47;19.56;9.34;-3.45;-21.01;42.12;0
