hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
SELVA;1.32;1.29;0.01;37.85;91.91;0.24;6.33;0.06;8.17;1.32;0.25;0.72;-0.04;0
ULUUN;1.33;0.95;0.19;29.79;78.66;2.64;12.8;2.33;5.24;3.57;0.88;10.45;40.43;0
PNSUT;1.23;0.9;0.03;9.85;42.01;1.13;8.94;2.36;12.2;4.97;2.08;4.13;5.18;1
KRSTL;3.45;2.7;0.38;7.75;27.49;0.95;5.44;0.43;7.29;3.77;0.45;0.67;3.17;0
ERSU;2.21;0.74;0.02;0;29.97;0.18;0.57;5.19;19.96;5.23;28.28;7.3;-2.06;0
BANVT;1.79;1.32;0.45;14.69;46.57;1.91;10.42;6.15;15.33;12.32;3.21;12.11;25.05;1
AVOD;1.07;0.53;0.05;28.35;65.81;0.79;2.02;6.05;18.55;10.58;7.71;27.74;52.08;0
VAKKO;1.09;0.28;0.05;37.35;71.13;1.34;1.55;8.79;52.29;23.07;6.55;28.33;57.09;1
MNDRS;0.88;0.32;0.04;65.41;88.17;1.02;3.24;-0.93;10.4;8.17;-0.91;-5.88;22.86;0
DESA;1.06;0.31;0.09;28.64;74.61;1.32;1.62;5.63;37.8;16.17;4.26;21.56;56.85;0
DERIM;1.55;1.49;0.04;25.35;76.68;0.92;22.11;-2.04;9.48;3.03;-2.22;-10.71;8.04;1
DAGI;1.37;0.66;0.28;41.62;51.15;0.72;1.59;2.87;47.65;19.31;3.99;5.35;12.77;0
ARSAN;1.23;0.87;0.41;26.1;38.95;0.5;4.4;10.15;13.42;8.53;20.34;17.58;12.9;0
YATAS;1.29;0.73;0.24;29.61;58.3;1.42;3.75;10.47;41.35;17.55;7.39;24.74;33.65;0
GENTS;3.04;1.54;0.53;7.61;27.12;1.04;2.63;2.86;18.61;7.73;2.75;4.65;8.84;0
PRZMA;3.66;2.31;0.05;10.47;14.85;0.22;0.89;2.09;28.71;24.2;9.49;2.4;8.86;0
HURGZ;1.97;1.87;0.1;3.35;27.02;0.4;18.8;-5.58;11.91;-19.22;-13.82;-7.63;-17.92;0
DURDO;1.56;0.97;0.31;51.85;74.02;0.99;4.06;4.01;27.93;15.81;4.07;15.22;26.03;1
ALKA;3.04;2.52;1.48;15.04;32.38;1.69;6.27;19.32;17.81;14.5;11.45;28.38;49;1
TUCLK;0.87;0.75;0;32.59;62.07;0.78;11.91;0.69;15.84;11.5;0.88;1.75;13.39;0
IZMDC;0.47;0.21;0.11;42.73;92.2;1.08;4.94;-13.79;1.33;2.24;-12.71;-13.14;8.51;1
DMSAS;1.76;1.26;0.36;37.26;58.89;1.23;6.42;5.27;12.71;9.9;4.29;13.21;16.48;0
CUSAN;1.54;0.92;0.14;3.03;47.01;1.12;4.07;3.6;15.59;5.75;3.22;7.57;8.54;0
CEMAS;1.11;0.96;0.01;30.19;63.17;0.43;5.93;-5.35;7.42;0.76;-12.55;-14.05;-5.16;0
CEMTS;7.8;5.14;2.95;5.23;14.82;1.27;3.92;10.37;12.91;8.41;8.15;12.55;9.09;0
BURVA;1.65;1.19;0.05;52.29;64.45;0.72;1.61;-0.94;41.81;22.94;-1.31;-2.62;22.77;0
BURCE;0.85;0.45;0.07;25.82;48.95;0.56;3.17;-2.4;22.75;8.95;-4.27;-5.41;7.53;0
BRSAN;1.03;0.61;0.33;37.19;58.34;0.67;3.63;0.96;10.99;7.31;1.44;2.33;5.44;1
PRKME;1.13;1.11;0.12;0.46;13.35;0.02;2.28;0.74;75.67;2.23;38.82;0.83;-55.87;1
ENJSA;0.79;0.77;0.06;38.77;70.79;0.84;100.81;4.44;27.47;18.23;5.31;15.74;-16.08;1
YAYLA;0.93;0.88;0.37;27.88;37.07;0.17;32.31;1.55;0.66;-6.42;9.05;2.54;0.21;0
AYEN;0.4;0.4;0.04;67.3;71.48;0.19;3.17;0.79;38.39;47.91;4.1;3.61;8.62;1
ORGE;3.34;3.19;0.48;15.17;37.07;0.56;11.88;17.95;42.86;39.43;32.19;28.06;32.44;0
YYAPI;1.2;1.1;0.02;3.4;48.78;0;0.15;-6.96;-19.07;-20.78;-29.32;-12.31;-4.97;0
SANKO;8.02;7.95;1.9;0;14.65;2.41;47.74;9.92;3.86;1.6;4.12;12.37;0.16;1
MIPAZ;4.8;2.92;2.51;0.01;13.07;0.17;0.19;34.99;10.99;7.31;1.44;41.84;28.81;1
MEPET;0.3;0.25;0.01;13.56;48.1;1.41;10.17;-0.63;5.72;6.84;-0.45;-1.22;8.54;0
