,model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
0,LDShrink,4,0.649,"{'n_components': 1, 'solver': 'lsqr'}",0.653,0.649,0.607,0.591,0.2
1,LDSVD,4,0.639,"{'n_components': 1, 'store_covariance': True}",0.634,0.639,0.598,0.582,0.179
2,XGB,4,0.902,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 500, 'objective': 'binary:logistic', 'subsample': 0.8}",0.907,0.902,0.901,0.886,0.792
3,NB,4,0.654,"{'priors': None, 'var_smoothing': 1e-09}",0.664,0.654,0.609,0.594,0.208
4,KNN,4,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
5,svm,4,0.668,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.666,0.668,0.642,0.621,0.259
6,random_forest,4,0.744,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 5}",0.748,0.744,0.733,0.711,0.443
7,DT,4,0.689,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.685,0.689,0.676,0.654,0.323
