,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
85,9.965896606445312e-05,0.00019931793212890625,0.0,0.0,gini,8,auto,2,3,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 3}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
86,0.00019979476928710938,0.00039958953857421875,0.0,0.0,gini,8,auto,2,4,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 4}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
87,0.00019998550415039061,0.00039997100830078123,0.0,0.0,gini,8,auto,3,2,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 2}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
88,0.00019936561584472657,0.0003987312316894531,0.0,0.0,gini,8,auto,3,3,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 3}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
89,0.00039930343627929686,0.0004890450449324577,0.0,0.0,gini,8,auto,3,4,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 4}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
90,0.003906106948852539,0.0016841242997642698,0.00803685188293457,0.001735348301582836,gini,8,sqrt,1,2,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5964157706093189,0.6566308243727599,0.6967741935483871,0.5982078853046595,0.7144444444444444,0.652494623655914,0.04880052557463424,78,0.9862466124661247,0.9518744354110208,0.9749548328816622,0.9450090334236676,0.946146953405018,0.9608463735174986,0.016682989723397247,0.5921052631578947,0.618421052631579,0.7105263157894737,0.6052631578947368,0.72,0.6492631578947368,0.05460977153234029,45,0.933993399339934,0.8844884488448845,0.9240924092409241,0.8679867986798679,0.8618421052631579,0.8944806322737536,0.029343334813813283,0.6521739130434783,0.6904761904761905,0.7804878048780488,0.6530612244897959,0.75,0.7052398265775027,0.0518117631606786,49,0.9210526315789473,0.8717948717948718,0.9243243243243243,0.868421052631579,0.8556701030927835,0.8882525966845011,0.02864534014711123,0.6666666666666666,0.6444444444444445,0.7111111111111111,0.7111111111111111,0.8,0.7066666666666667,0.053333333333333344,113,0.9722222222222222,0.9444444444444444,0.95,0.9166666666666666,0.9222222222222223,0.941111111111111,0.02006163342807531,0.6593406593406593,0.6666666666666666,0.7441860465116279,0.6808510638297872,0.7741935483870969,0.7050475969471677,0.04573985790162724,74,0.9459459459459458,0.9066666666666667,0.9369863013698629,0.8918918918918918,0.8877005347593583,0.9138382681267452,0.0235923327413574
91,0.002541637420654297,0.0004954490576665004,0.009583806991577149,0.0014745712280273438,gini,8,sqrt,1,3,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.5645161290322581,0.592831541218638,0.6157706093189964,0.5856630824372759,0.4814814814814815,0.56805256869773,0.0462778534969078,197,0.9621951219512196,0.9899277326106595,0.9875564588979223,0.9385727190605239,0.925918458781362,0.9608340982603375,0.02560096633858263,0.6052631578947368,0.6052631578947368,0.631578947368421,0.6052631578947368,0.5333333333333333,0.596140350877193,0.03301603367353752,189,0.900990099009901,0.9438943894389439,0.9372937293729373,0.8646864686468647,0.8651315789473685,0.902399253083203,0.03391928707197465,0.6530612244897959,0.6744186046511628,0.717948717948718,0.6363636363636364,0.5961538461538461,0.6555892059214318,0.04037779142659268,167,0.8947368421052632,0.9453551912568307,0.9878787878787879,0.8262910798122066,0.8492462311557789,0.9007016264417734,0.0596891349122062,0.7111111111111111,0.6444444444444445,0.6222222222222222,0.7777777777777778,0.6888888888888889,0.6888888888888889,0.05443310539518174,149,0.9444444444444444,0.9611111111111111,0.9055555555555556,0.9777777777777777,0.9388888888888889,0.9455555555555556,0.02419060117453026,0.6808510638297872,0.6590909090909091,0.6666666666666666,0.7000000000000001,0.6391752577319588,0.6691567794638644,0.02046692255000933,175,0.918918918918919,0.953168044077135,0.9449275362318841,0.8956743002544529,0.8918205804749341,0.9209018759914651,0.024917553644604854
92,0.0031586170196533205,0.0007074535067544603,0.008704185485839844,0.0008731704759164389,gini,8,sqrt,1,4,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4}",0.7698924731182795,0.6383512544802867,0.6523297491039426,0.6136200716845879,0.6992592592592592,0.6746905615292711,0.05516734682280731,26,0.9680668473351399,0.9600271002710027,0.9830623306233062,0.9635275519421861,0.9469758064516128,0.9643319273246496,0.01170633266819521,0.7236842105263158,0.6578947368421053,0.618421052631579,0.6842105263157895,0.7066666666666667,0.6781754385964912,0.03715135041685893,5,0.8976897689768977,0.8877887788778878,0.9240924092409241,0.8976897689768977,0.8552631578947368,0.892504776793469,0.02218434414652874,0.74,0.6862745098039216,0.7,0.6721311475409836,0.7017543859649122,0.7000320086619635,0.02266333940904009,62,0.8941798941798942,0.8724489795918368,0.9385474860335196,0.8900523560209425,0.8269230769230769,0.8844303585498539,0.03607205197791424,0.8222222222222222,0.7777777777777778,0.6222222222222222,0.9111111111111111,0.8888888888888888,0.8044444444444444,0.10270417785147858,18,0.9388888888888889,0.95,0.9333333333333333,0.9444444444444444,0.9555555555555556,0.9444444444444444,0.007856742013183865,0.7789473684210526,0.7291666666666667,0.6588235294117647,0.7735849056603773,0.7843137254901961,0.7449672391300115,0.04731207631749479,6,0.9159891598915989,0.9095744680851064,0.935933147632312,0.9164420485175202,0.88659793814433,0.9129073524541734,0.015845960093801598
93,0.003059673309326172,0.00032835681175996326,0.008942604064941406,0.0006923723154981399,gini,8,sqrt,2,2,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6229390681003584,0.7483870967741936,0.6043010752688173,0.6451612903225806,0.6566666666666666,0.6554910394265233,0.049835341986157786,68,0.9317299006323396,0.977122854561879,0.9757226738934056,0.9478319783197833,0.9375672043010752,0.9539949223416965,0.01902934274761835,0.6052631578947368,0.7105263157894737,0.5921052631578947,0.618421052631579,0.6666666666666666,0.6385964912280702,0.043912249160645005,81,0.8679867986798679,0.9141914191419142,0.8976897689768977,0.8745874587458746,0.8651315789473685,0.8839174048983847,0.01897331450795351,0.6470588235294118,0.7804878048780488,0.6458333333333334,0.7105263157894737,0.7,0.6967812555060536,0.049546108669536834,71,0.8608247422680413,0.9476744186046512,0.9627329192546584,0.898876404494382,0.8564102564102564,0.9053037482063978,0.04359736151136648,0.7333333333333333,0.7111111111111111,0.6888888888888889,0.6,0.7777777777777778,0.7022222222222222,0.058962218495207115,125,0.9277777777777778,0.9055555555555556,0.8611111111111112,0.8888888888888888,0.9277777777777778,0.9022222222222223,0.02523959264800122,0.6875,0.7441860465116279,0.6666666666666667,0.6506024096385543,0.7368421052631577,0.6971594456160013,0.03735474996606286,104,0.893048128342246,0.9261363636363636,0.9090909090909091,0.8938547486033519,0.8906666666666667,0.9025593632679076,0.013462586496887098
94,0.0029150009155273437,0.0001598315619628801,0.008879661560058594,0.0013728554849614643,gini,8,sqrt,2,3,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3}",0.5835125448028674,0.635483870967742,0.5616487455197132,0.7387096774193549,0.5933333333333333,0.6225376344086022,0.06284401996768099,146,0.9662601626016261,0.9728319783197832,0.9219286359530262,0.9489611562782294,0.9115367383512545,0.944303734300784,0.024049773718860183,0.5657894736842105,0.6052631578947368,0.5789473684210527,0.6842105263157895,0.5466666666666666,0.5961754385964912,0.0479666448178478,188,0.8943894389438944,0.9108910891089109,0.8250825082508251,0.8811881188118812,0.819078947368421,0.8661260204967866,0.03722256300484496,0.65,0.6923076923076923,0.6585365853658537,0.7560975609756098,0.6341463414634146,0.6782176360225141,0.043335136179740635,130,0.9625,0.9273743016759777,0.8802395209580839,0.8789473684210526,0.8571428571428571,0.9012408096395943,0.03825788512628826,0.5777777777777777,0.6,0.6,0.6888888888888889,0.5777777777777777,0.6088888888888888,0.041216082202203144,214,0.8555555555555555,0.9222222222222223,0.8166666666666667,0.9277777777777778,0.8333333333333334,0.8711111111111111,0.04573136806057041,0.6117647058823529,0.6428571428571429,0.627906976744186,0.7209302325581395,0.6046511627906976,0.6416220441665038,0.0418036457937718,209,0.9058823529411764,0.924791086350975,0.8472622478386167,0.9027027027027026,0.8450704225352113,0.8851417624737363,0.032714515163904334
