,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007195281982421875,0.00040051941006188685,0.004797029495239258,0.0003998519802667426,1,3,rbf,"{'C': 1, 'degree': 3, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
1,0.004196882247924805,0.0003993514189078508,0.001920318603515625,0.0005161538923159426,1,3,linear,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
2,0.004196786880493164,0.0003996372365137937,0.0015996932983398438,0.0004896093863255838,1,3,poly,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
3,0.0065972328186035155,0.0004905279817815304,0.0019999980926513673,3.136269312363691e-06,1,3,sigmoid,"{'C': 1, 'degree': 3, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
4,0.007395124435424805,0.0004899024499258622,0.004996395111083985,0.0010942342348458274,1,8,rbf,"{'C': 1, 'degree': 8, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
5,0.005795764923095703,0.0007471942322826462,0.0019989013671875,1.3571023436315258e-06,1,8,linear,"{'C': 1, 'degree': 8, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
6,0.004796600341796875,0.00039987569773023346,0.001600027084350586,0.0004907613962572402,1,8,poly,"{'C': 1, 'degree': 8, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
7,0.006995153427124023,0.0006340684337356349,0.0019994735717773437,8.476442735019292e-07,1,8,sigmoid,"{'C': 1, 'degree': 8, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
8,0.014990758895874024,0.007262067522786776,0.01099238395690918,0.006568537992668747,5,3,rbf,"{'C': 5, 'degree': 3, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
9,0.005996513366699219,0.0014119555065835122,0.0017998695373535156,0.0003999717757418232,5,3,linear,"{'C': 5, 'degree': 3, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
10,0.004798126220703125,0.000400167283118913,0.0015988349914550781,0.0004894926784577927,5,3,poly,"{'C': 5, 'degree': 3, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
11,0.006994104385375977,1.4743447145214373e-06,0.0017994880676269532,0.00039989949338787065,5,3,sigmoid,"{'C': 5, 'degree': 3, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
12,0.007795858383178711,0.0003999811554578002,0.004397439956665039,0.0004899403624467531,5,8,rbf,"{'C': 5, 'degree': 8, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
13,0.004197597503662109,0.00039959090421529765,0.001598691940307617,0.0004896680362945203,5,8,linear,"{'C': 5, 'degree': 8, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
14,0.0053955078125,0.0004891231987445977,0.0017998695373535156,0.0003994941711425781,5,8,poly,"{'C': 5, 'degree': 8, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
15,0.006996250152587891,2.4666818917040945e-06,0.001999187469482422,0.0006327113315227588,5,8,sigmoid,"{'C': 5, 'degree': 8, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
16,0.007594490051269531,0.0004900000679067513,0.004796504974365234,0.00039911648988919646,10,3,rbf,"{'C': 10, 'degree': 3, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
17,0.004597759246826172,0.0004893811975770951,0.001399087905883789,0.0004893571252998594,10,3,linear,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
18,0.0061954021453857425,0.000979452409011857,0.0017994880676269532,0.0003995427227136037,10,3,poly,"{'C': 10, 'degree': 3, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
19,0.011392831802368164,0.002415175927469995,0.002597951889038086,0.0007996091476395134,10,3,sigmoid,"{'C': 10, 'degree': 3, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
20,0.010793256759643554,0.0011656567944037257,0.007396268844604492,0.0020583933407750422,10,8,rbf,"{'C': 10, 'degree': 8, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
