,model,variable_count,best_mean_score_accuracy,best_params,best_mean_precision,best_mean_recall,best_mean_f1
0,svm,4,0.6476147816349385,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6512188918274725,0.8912280701754385,0.752027643565204
1,random_forest,4,0.6877043673012317,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7041400872064892,0.8280701754385964,0.7606694089800026
