,model,variable_count,best_score,best_params,best_mean_precision,best_mean_recall,best_mean_f1
0,svm,3,0.6042105263157895,"{'C': 1000, 'degree': 3, 'kernel': 'poly'}",0.6,1.0,0.7499999999999999
1,random_forest,3,0.5987719298245613,{'n_estimators': 1},0.6544850781497017,0.6844444444444445,0.6681593465446476
