,model,variable_count,test_accuracy,test_params,test_precision,test_recall,test_f1,test_auc
0,svm,13,0.694737,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.6885395306447938,0.6947368421052632,0.6647192281764872,0.694737
1,random_forest,13,0.810526,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8082555178268251,0.8105263157894737,0.8078407161599012,0.810526
2,DT,13,0.726316,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3}",0.719298245614035,0.7263157894736842,0.717211375212224,0.726316
