,model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
0,LDShrink,3,0.633,"{'n_components': 1, 'solver': 'lsqr'}",0.627,0.633,0.591,0.575,0.165
1,LDSVD,3,0.644,"{'n_components': 1, 'store_covariance': True}",0.641,0.644,0.606,0.588,0.193
2,XGB,3,0.834,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'objective': 'binary:logistic', 'subsample': 0.8}",0.843,0.834,0.828,0.808,0.641
3,NB,3,0.607,"{'priors': None, 'var_smoothing': 1e-09}",0.588,0.607,0.549,0.542,0.093
4,KNN,3,1.0,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'metric': 'chebyshev', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
5,svm,3,0.62,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.711,0.62,0.507,0.535,0.081
6,random_forest,3,0.802,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10}",0.817,0.802,0.793,0.769,0.567
7,DT,3,0.718,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.724,0.718,0.72,0.716,0.425
