,model,variable_count,test_accuracy,test_params,test_precision,test_recall,test_f1,test_roc_auc,test_kappa
0,svm,8,0.705263,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6963650957459008,0.7052631578947368,0.6954584040747028,0.659524,0.335
1,random_forest,8,0.789474,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7880976952184381,0.7894736842105263,0.7824702886247878,0.75,0.525
2,DT,8,0.694737,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7170700816211653,0.6947368421052632,0.6997497164052794,0.69881,0.377401
