,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_objective,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0,0.0060039997100830075,1.9073486328125e-07,0.005797719955444336,0.0004003524780273437,0.7,0.001,3,1,5,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 5, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
1,0.04959316253662109,0.0016249483588829466,0.0068015575408935545,0.0007497478574329987,0.7,0.001,3,1,100,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
2,0.272532320022583,0.015607785703309018,0.0077282428741455075,0.0006454877278174798,0.7,0.001,3,1,500,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'objective': 'binary:logistic', 'subsample': 0.8}",0.6052631578947368,0.6578947368421053,0.6052631578947368,0.631578947368421,0.6266666666666667,0.6253333333333334,0.01952769497501543,622,0.6633663366336634,0.7029702970297029,0.6765676567656765,0.6534653465346535,0.7072368421052632,0.6807212958137919,0.021257593216701117,0.6,0.6417910447761194,0.6027397260273972,0.6164383561643836,0.6197183098591549,0.6161374873654111,0.014905947315951337,639,0.6382978723404256,0.6704545454545454,0.6474820143884892,0.631578947368421,0.6730038022813688,0.65216343636665,0.016773647712681996,1.0,0.9555555555555556,0.9777777777777777,1.0,0.9777777777777777,0.9822222222222223,0.01662958838566195,121,1.0,0.9833333333333333,1.0,1.0,0.9833333333333333,0.9933333333333334,0.008164965809277286,0.7499999999999999,0.7678571428571429,0.7457627118644068,0.7627118644067796,0.7586206896551724,0.7569904817567004,0.008104391064574756,191,0.7792207792207793,0.7972972972972971,0.7860262008733624,0.7741935483870968,0.7990970654627539,0.7871669782482579,0.009774494149025342
3,0.5343587398529053,0.023627899009314154,0.008734464645385742,0.0007638434924979411,0.7,0.001,3,1,1000,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'objective': 'binary:logistic', 'subsample': 0.8}",0.7105263157894737,0.6052631578947368,0.6710526315789473,0.7236842105263158,0.6933333333333334,0.6807719298245615,0.04166681071073902,245,0.8250825082508251,0.8118811881188119,0.7755775577557755,0.7920792079207921,0.7598684210526315,0.7928977766197671,0.02361281528194837,0.676923076923077,0.631578947368421,0.6612903225806451,0.6935483870967742,0.6774193548387096,0.6681520177615254,0.020940214561767236,516,0.7797356828193832,0.7709251101321586,0.7352941176470589,0.7447698744769874,0.7316017316017316,0.752465303335464,0.019358697956827653,0.9777777777777777,0.8,0.9111111111111111,0.9555555555555556,0.9333333333333333,0.9155555555555555,0.061903947898596066,201,0.9833333333333333,0.9722222222222222,0.9722222222222222,0.9888888888888889,0.9388888888888889,0.971111111111111,0.01735611039090368,0.8000000000000002,0.7058823529411765,0.7663551401869159,0.8037383177570094,0.7850467289719625,0.7722045079714128,0.03567838709433323,68,0.8697788697788698,0.8599508599508598,0.8373205741626794,0.8496420047732696,0.8223844282238443,0.8478153473779045,0.016672585718870703
4,0.008168601989746093,0.0013422761004222422,0.0076370716094970705,0.001322253476819304,0.7,0.001,3,5,5,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 5, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
5,0.05028753280639649,0.003481444417280755,0.007639312744140625,0.0010366165272429465,0.7,0.001,3,5,100,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
6,0.23592333793640136,0.0141571664767387,0.009338951110839844,0.0021910206900936343,0.7,0.001,3,5,500,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500, 'objective': 'binary:logistic', 'subsample': 0.8}",0.631578947368421,0.618421052631579,0.618421052631579,0.618421052631579,0.6266666666666667,0.6227017543859649,0.005468058287389339,623,0.6237623762376238,0.6765676567656765,0.6534653465346535,0.6270627062706271,0.680921052631579,0.6523558276880319,0.02391962889475487,0.6164383561643836,0.6212121212121212,0.6081081081081081,0.6081081081081081,0.6197183098591549,0.6147170006903753,0.005612800922703644,640,0.613013698630137,0.6496350364963503,0.6334519572953736,0.6151202749140894,0.6531365313653137,0.6328714997402528,0.016741940449475773,1.0,0.9111111111111111,1.0,1.0,0.9777777777777777,0.9777777777777776,0.03442651863295483,131,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9833333333333333,0.99,0.004157397096415511,0.7627118644067796,0.7387387387387386,0.7563025210084033,0.7563025210084033,0.7586206896551724,0.7545352669634994,0.008238010706392842,213,0.7584745762711865,0.7841409691629957,0.7722342733188721,0.7600849256900213,0.7849223946784923,0.7719714278243137,0.01130794677597682
7,0.4223505973815918,0.020704489061920316,0.010862207412719727,0.004994425714325932,0.7,0.001,3,5,1000,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'objective': 'binary:logistic', 'subsample': 0.8}",0.7368421052631579,0.5921052631578947,0.618421052631579,0.6973684210526315,0.68,0.6649473684210527,0.05275837358542718,303,0.759075907590759,0.7854785478547854,0.7425742574257426,0.759075907590759,0.7302631578947368,0.7552935556713567,0.018590575493592266,0.7049180327868853,0.6206896551724138,0.6212121212121212,0.671875,0.6615384615384615,0.6560466541419763,0.03203956988572153,528,0.720164609053498,0.7446808510638298,0.7107438016528925,0.720164609053498,0.6991869918699187,0.7189881725387274,0.014986247980884545,0.9555555555555556,0.8,0.9111111111111111,0.9555555555555556,0.9555555555555556,0.9155555555555555,0.060287377627780164,201,0.9722222222222222,0.9722222222222222,0.9555555555555556,0.9722222222222222,0.9555555555555556,0.9655555555555555,0.008164965809277232,0.8113207547169811,0.6990291262135923,0.7387387387387386,0.7889908256880733,0.7818181818181817,0.7639795254351134,0.040101437540073614,133,0.8274231678486998,0.8433734939759036,0.8151658767772512,0.8274231678486998,0.8075117370892019,0.8241794887079512,0.012235292322000461
8,0.008246755599975586,0.002304727006956943,0.009248876571655273,0.0023779408425764286,0.7,0.001,3,10,5,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 5, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
9,0.04477667808532715,0.004656989665923384,0.008034181594848634,0.0013628158675260005,0.7,0.001,3,10,100,binary:logistic,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,673,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,338,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
