,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
2590,0.0011120319366455078,0.0005096068581415485,0.00843052864074707,0.0029897036514871175,brute,1,minkowski,10,2,uniform,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.6578947368421053,0.5657894736842105,0.5921052631578947,0.631578947368421,0.7066666666666667,0.6308070175438597,0.04942496045433512,1993,0.6963696369636964,0.7326732673267327,0.6831683168316832,0.7128712871287128,0.7269736842105263,0.7104112384922704,0.0185219206854063,0.7111111111111111,0.6764705882352942,0.6842105263157895,0.7073170731707317,0.7804878048780488,0.711919420742195,0.03673652358911023,925,0.8055555555555556,0.7828571428571428,0.7763157894736842,0.7924528301886793,0.8050314465408805,0.7924425529231884,0.011682326580495325,0.7111111111111111,0.5111111111111111,0.5777777777777777,0.6444444444444445,0.7111111111111111,0.6311111111111112,0.07774602526460404,2569,0.6444444444444445,0.7611111111111111,0.6555555555555556,0.7,0.7111111111111111,0.6944444444444444,0.0418698748475928,0.7111111111111111,0.5822784810126582,0.6265060240963854,0.6744186046511628,0.7441860465116279,0.6677000534765891,0.05791987410928452,2573,0.7160493827160493,0.7718309859154928,0.710843373493976,0.743362831858407,0.7551622418879057,0.7394497631743662,0.023137160656399577
2591,0.0005991458892822266,0.0004892085256016593,0.009739208221435546,0.0010855199676436447,brute,1,minkowski,10,2,distance,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.75,0.6052631578947368,0.6710526315789473,0.7105263157894737,0.7333333333333333,0.6940350877192982,0.05168565165151779,337,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.76,0.6923076923076923,0.7272727272727273,0.7346938775510204,0.7906976744186046,0.740994394310009,0.03295452840133399,545,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8444444444444444,0.6,0.7111111111111111,0.8,0.7555555555555555,0.7422222222222222,0.08385761006272538,1579,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.6428571428571429,0.7191011235955056,0.7659574468085106,0.7727272727272727,0.7401285971976863,0.05516933653331996,631,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2592,0.0018048763275146484,0.0014752029189186889,0.008789968490600587,0.000516385018581261,brute,1,minkowski,11,1,uniform,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.6578947368421053,0.618421052631579,0.6973684210526315,0.6842105263157895,0.6533333333333333,0.6622456140350877,0.027331373936030856,1129,0.7194719471947195,0.7425742574257426,0.7062706270627063,0.7326732673267327,0.7138157894736842,0.722961177696717,0.013064340145228188,0.6727272727272727,0.7,0.7391304347826086,0.7441860465116279,0.6938775510204082,0.7099842610083835,0.027446152107668452,949,0.7745664739884393,0.7628865979381443,0.7382198952879581,0.7591623036649214,0.7513513513513513,0.7572373244461629,0.012101459010372408,0.8222222222222222,0.6222222222222222,0.7555555555555555,0.7111111111111111,0.7555555555555555,0.7333333333333334,0.06592176432973922,1813,0.7444444444444445,0.8222222222222222,0.7833333333333333,0.8055555555555556,0.7722222222222223,0.7855555555555556,0.02689715208202266,0.7400000000000001,0.6588235294117647,0.7472527472527473,0.7272727272727273,0.723404255319149,0.7193506518512776,0.03145678317191866,1457,0.7592067988668555,0.7914438502673796,0.7601078167115902,0.7816711590296497,0.7616438356164383,0.7708146920983827,0.013243187044110224
2593,0.000601816177368164,0.000491395449891029,0.01024765968322754,0.0021107444833900948,brute,1,minkowski,11,1,distance,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.6842105263157895,0.6447368421052632,0.6973684210526315,0.7368421052631579,0.6666666666666666,0.6859649122807017,0.030963794025829446,517,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6981132075471698,0.7368421052631579,0.7391304347826086,0.7777777777777778,0.7,0.7303727050741428,0.029424371805368197,697,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8222222222222222,0.6222222222222222,0.7555555555555555,0.7777777777777778,0.7777777777777778,0.7511111111111111,0.06798692684790378,1261,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7551020408163266,0.6746987951807228,0.7472527472527473,0.7777777777777778,0.7368421052631577,0.7383346932581464,0.0345490604522127,701,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2594,0.0004000663757324219,0.0004899798219536205,0.008826160430908203,0.002653071417077081,brute,1,minkowski,11,2,uniform,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.6710526315789473,0.5921052631578947,0.631578947368421,0.6578947368421053,0.6666666666666666,0.6438596491228069,0.02927775310224324,1813,0.7326732673267327,0.7557755775577558,0.7062706270627063,0.7227722772277227,0.7302631578947368,0.7295509814139309,0.016036901425964492,0.6851851851851852,0.675,0.6888888888888889,0.7021276595744681,0.7272727272727273,0.6956948921842538,0.018019957545744154,1315,0.7796610169491526,0.7731958762886598,0.7513812154696132,0.7608695652173914,0.7752808988764045,0.7680777145602442,0.010420986871078933,0.8222222222222222,0.6,0.6888888888888889,0.7333333333333333,0.7111111111111111,0.711111111111111,0.07166451331820933,2233,0.7666666666666667,0.8333333333333334,0.7555555555555555,0.7777777777777778,0.7666666666666667,0.78,0.027577052546646358,0.7474747474747475,0.6352941176470589,0.6888888888888889,0.7173913043478262,0.7191011235955056,0.7016300363908055,0.037995223240138765,2017,0.773109243697479,0.8021390374331551,0.7534626038781165,0.7692307692307693,0.7709497206703911,0.7737782749819823,0.01578725733066311
2595,0.00029969215393066406,0.00039923277567498953,0.009321975708007812,0.0007304564507708504,brute,1,minkowski,11,2,distance,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.7105263157894737,0.6052631578947368,0.6578947368421053,0.7368421052631579,0.72,0.6861052631578948,0.048271622973415064,433,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7169811320754716,0.6923076923076923,0.7111111111111111,0.7450980392156863,0.7727272727272727,0.7276450494874469,0.028188056931796386,745,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8444444444444444,0.6,0.7111111111111111,0.8444444444444444,0.7555555555555555,0.7511111111111111,0.0915167123643289,1261,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7755102040816326,0.6428571428571429,0.7111111111111111,0.7916666666666666,0.7640449438202247,0.7370380137073556,0.054288146298808994,781,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2596,0.000698709487915039,0.00039951887735049197,0.01059579849243164,0.0014885077455781316,brute,1,minkowski,12,1,uniform,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",0.6710526315789473,0.5657894736842105,0.6578947368421053,0.6578947368421053,0.6666666666666666,0.643859649122807,0.0393663257409068,1801,0.6963696369636964,0.735973597359736,0.693069306930693,0.7326732673267327,0.6842105263157895,0.7084592669793295,0.021514495750945887,0.6923076923076923,0.6764705882352942,0.7209302325581395,0.7435897435897436,0.75,0.7166596513381739,0.02850692997583574,841,0.7894736842105263,0.7808988764044944,0.7668711656441718,0.7964071856287425,0.75,0.776730182377587,0.016605192962991473,0.8,0.5111111111111111,0.6888888888888889,0.6444444444444445,0.6666666666666666,0.6622222222222222,0.09258962958222072,2473,0.6666666666666666,0.7722222222222223,0.6944444444444444,0.7388888888888889,0.7,0.7144444444444444,0.03695175366292423,0.7422680412371134,0.5822784810126582,0.7045454545454545,0.6904761904761906,0.7058823529411765,0.6850901040425187,0.05418373286585183,2341,0.7228915662650601,0.776536312849162,0.7288629737609329,0.7665706051873198,0.7241379310344827,0.7437998778193914,0.022965369361715376
2597,0.0021923542022705077,0.0023905777154132877,0.008781671524047852,0.0014810943399030517,brute,1,minkowski,12,1,distance,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",0.6973684210526315,0.6447368421052632,0.6973684210526315,0.6973684210526315,0.72,0.6913684210526314,0.024908919961106463,385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7037037037037037,0.75,0.7391304347826086,0.7291666666666666,0.7608695652173914,0.736574074074074,0.01955705647443006,601,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8444444444444444,0.6,0.7555555555555555,0.7777777777777778,0.7777777777777778,0.7511111111111111,0.0812251861444314,1261,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7676767676767676,0.6666666666666665,0.7472527472527473,0.7526881720430108,0.7692307692307693,0.7407030245739923,0.03797193687812394,589,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2598,0.0011809825897216796,0.0009897235731417154,0.008067941665649414,0.0006105723317048377,brute,1,minkowski,12,2,uniform,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",0.6447368421052632,0.5921052631578947,0.631578947368421,0.6973684210526315,0.6533333333333333,0.6438245614035087,0.03400892465201535,1825,0.6963696369636964,0.7458745874587459,0.6765676567656765,0.7227722772277227,0.7269736842105263,0.7137115685252736,0.024383817226372593,0.6956521739130435,0.7058823529411765,0.6976744186046512,0.775,0.7435897435897436,0.7235597378097229,0.03101184778286689,781,0.8098591549295775,0.7877094972067039,0.7662337662337663,0.7926829268292683,0.7975460122699386,0.790806271493851,0.014320309591168876,0.7111111111111111,0.5333333333333333,0.6666666666666666,0.6888888888888889,0.6444444444444445,0.6488888888888888,0.061903947898596094,2545,0.6388888888888888,0.7833333333333333,0.6555555555555556,0.7222222222222222,0.7222222222222222,0.7044444444444444,0.052044615238357204,0.7032967032967032,0.6075949367088608,0.6818181818181818,0.7294117647058822,0.6904761904761906,0.6825195554011637,0.04076289396242051,2437,0.7142857142857142,0.7855153203342619,0.7065868263473054,0.7558139534883721,0.7580174927113703,0.7440438614334047,0.029469496570336262
2599,0.000599527359008789,0.0004895159637320156,0.009194469451904297,0.0014628268754809735,brute,1,minkowski,12,2,distance,"{'algorithm': 'brute', 'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",0.7236842105263158,0.5789473684210527,0.6447368421052632,0.7368421052631579,0.7333333333333333,0.6835087719298246,0.062253267988053154,541,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.74,0.6756756756756757,0.6956521739130435,0.7450980392156863,0.7906976744186046,0.7294247126446021,0.04035197407927675,709,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8222222222222222,0.5555555555555556,0.7111111111111111,0.8444444444444444,0.7555555555555555,0.7377777777777779,0.10270417785147859,1645,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7789473684210526,0.6097560975609757,0.7032967032967032,0.7916666666666666,0.7727272727272727,0.7312788217345341,0.06809952671095604,1057,1.0,1.0,1.0,1.0,1.0,1.0,0.0
