,model,variable_count,best_mean_score_accuracy,best_params,best_mean_precision,best_mean_recall,best_mean_f1
0,svm,3,0.6223292273236283,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.6202739289695811,0.9614035087719298,0.7537474930306575
1,random_forest,3,0.67498320268757,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.6893297845676922,0.8350877192982455,0.7544097367236202
