,model,variable_count,test_accuracy,test_params,test_precision,test_recall,test_f1,test_auc
0,svm,9,0.736842,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.7680311890838206,0.7368421052631579,0.7000479923212285,0.736842
1,random_forest,9,0.736842,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",0.7307541241162608,0.7368421052631579,0.7294746051480406,0.736842
2,DT,9,0.747368,"{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3}",0.7447651386530842,0.7473684210526316,0.7457240014211034,0.747368
