,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
40,0.009065771102905273,0.0015902294932303538,0.029183721542358397,0.00563082237439391,20,3,rbf,"{'C': 20, 'degree': 3, 'kernel': 'rbf'}",0.5620071684587814,0.5885304659498208,0.625089605734767,0.5806451612903226,0.6118518518518519,0.5936248506571087,0.02243371259443575,6,0.6217705510388436,0.6696928635953026,0.6314814814814815,0.6248419150858175,0.6386200716845879,0.6372813765772066,0.017211980069204297,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6052631578947368,0.6,0.5963157894736841,0.005418752705782649,7,0.6039603960396039,0.594059405940594,0.6006600660066007,0.6006600660066007,0.5986842105263158,0.5996048289039431,0.003249531344626899,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.6,0.5952631578947368,0.0038676153833418726,7,0.6,0.594059405940594,0.5980066445182725,0.5980066445182725,0.5960264900662252,0.5972198370086728,0.0020189026640131326,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7499999999999999,0.7462809917355372,0.0030365575323758032,3,0.7499999999999999,0.7453416149068323,0.7484407484407485,0.7484407484407485,0.7468879668049794,0.7478222157186617,0.0015832947453328667
41,0.007995939254760743,0.0010948000737773895,0.023586225509643555,0.004026647725911953,20,3,linear,"{'C': 20, 'degree': 3, 'kernel': 'linear'}",0.5627240143369177,0.5763440860215053,0.6229390681003584,0.4759856630824373,0.5459259259259259,0.5567837514934288,0.04783438677727103,28,0.5354561878952123,0.6206413730803975,0.6200090334236675,0.5585365853658537,0.6164426523297493,0.590217166418976,0.03606490756012508,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
42,0.00859370231628418,0.0013557858318245198,0.024700403213500977,0.004498315241066976,20,3,poly,"{'C': 20, 'degree': 3, 'kernel': 'poly'}",0.5025089605734767,0.628673835125448,0.5612903225806452,0.5326164874551971,0.5281481481481481,0.550647550776583,0.043243579571636145,31,0.5666666666666667,0.5661246612466124,0.5564588979223126,0.557542908762421,0.5661738351254479,0.5625933939446921,0.004583020848719235,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
43,0.01039419174194336,0.0007998472461400296,0.022186994552612305,0.003184234784268011,20,3,sigmoid,"{'C': 20, 'degree': 3, 'kernel': 'sigmoid'}",0.582078853046595,0.5240143369175627,0.5197132616487455,0.4258064516129032,0.47851851851851845,0.506026284348865,0.05193610561739779,50,0.4341915085817525,0.5612014453477867,0.5081752484191508,0.4823848238482385,0.5094534050179211,0.49908128624296993,0.041324690596717534,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
44,0.008557510375976563,0.0013735314198515859,0.032580089569091794,0.012854501269758218,20,8,rbf,"{'C': 20, 'degree': 8, 'kernel': 'rbf'}",0.5620071684587814,0.5885304659498208,0.625089605734767,0.5806451612903226,0.6118518518518519,0.5936248506571087,0.02243371259443575,6,0.6217705510388436,0.6696928635953026,0.6314814814814815,0.6248419150858175,0.6386200716845879,0.6372813765772066,0.017211980069204297,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6052631578947368,0.6,0.5963157894736841,0.005418752705782649,7,0.6039603960396039,0.594059405940594,0.6006600660066007,0.6006600660066007,0.5986842105263158,0.5996048289039431,0.003249531344626899,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.6,0.5952631578947368,0.0038676153833418726,7,0.6,0.594059405940594,0.5980066445182725,0.5980066445182725,0.5960264900662252,0.5972198370086728,0.0020189026640131326,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7499999999999999,0.7462809917355372,0.0030365575323758032,3,0.7499999999999999,0.7453416149068323,0.7484407484407485,0.7484407484407485,0.7468879668049794,0.7478222157186617,0.0015832947453328667
45,0.009393739700317382,0.0033803110664602184,0.02378673553466797,0.006301606932007086,20,8,linear,"{'C': 20, 'degree': 8, 'kernel': 'linear'}",0.5627240143369177,0.5763440860215053,0.6229390681003584,0.4759856630824373,0.5459259259259259,0.5567837514934288,0.04783438677727103,28,0.5354561878952123,0.6206413730803975,0.6200090334236675,0.5585365853658537,0.6164426523297493,0.590217166418976,0.03606490756012508,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
46,0.005995702743530273,0.0006324103464863915,0.023186302185058592,0.007105563272060598,20,8,poly,"{'C': 20, 'degree': 8, 'kernel': 'poly'}",0.48243727598566305,0.6043010752688172,0.596415770609319,0.5218637992831541,0.5207407407407407,0.5451517323775388,0.047324356860560295,35,0.5590785907859079,0.521093044263776,0.5892050587172538,0.5237579042457091,0.5175627240143369,0.5421394644053967,0.027881728401928853,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
47,0.012154769897460938,0.003224932842827089,0.025584697723388672,0.00475485177761503,20,8,sigmoid,"{'C': 20, 'degree': 8, 'kernel': 'sigmoid'}",0.582078853046595,0.5240143369175627,0.5197132616487455,0.4258064516129032,0.47851851851851845,0.506026284348865,0.05193610561739779,50,0.4341915085817525,0.5612014453477867,0.5081752484191508,0.4823848238482385,0.5094534050179211,0.49908128624296993,0.041324690596717534,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
48,0.015190315246582032,0.0031223781176469376,0.03358011245727539,0.00601692179263163,100,3,rbf,"{'C': 100, 'degree': 3, 'kernel': 'rbf'}",0.5921146953405018,0.5942652329749105,0.6444444444444445,0.668100358422939,0.6696296296296295,0.633710872162485,0.03427595032758555,3,0.6724932249322493,0.6746612466124661,0.6537488708220416,0.6533875338753388,0.6672939068100359,0.6643169566104264,0.009097853047401992,0.5921052631578947,0.618421052631579,0.5789473684210527,0.6052631578947368,0.6,0.5989473684210527,0.013168416845470326,5,0.6270627062706271,0.6534653465346535,0.6303630363036303,0.6039603960396039,0.631578947368421,0.6292860865033871,0.015731418655703176,0.5972222222222222,0.6290322580645161,0.589041095890411,0.6,0.6027397260273972,0.6036070604409094,0.013513972847196923,3,0.6192170818505338,0.6425855513307985,0.6188811188811189,0.6013513513513513,0.6197183098591549,0.6203506826545915,0.013108840824711594,0.9555555555555556,0.8666666666666667,0.9555555555555556,1.0,0.9777777777777777,0.9511111111111111,0.04532461789860252,59,0.9666666666666667,0.9388888888888889,0.9833333333333333,0.9888888888888889,0.9777777777777777,0.971111111111111,0.017708197167232473,0.7350427350427351,0.7289719626168225,0.728813559322034,0.7499999999999999,0.7457627118644068,0.7377181937691997,0.008700622840699581,61,0.7548806941431669,0.7629796839729119,0.7596566523605149,0.7478991596638654,0.7586206896551724,0.7568073759591263,0.005149219148024686
49,0.0064183235168457035,0.00047280948501203583,0.017389822006225585,0.002056961313941812,100,3,linear,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.5670250896057347,0.5770609318996416,0.6114695340501791,0.46738351254480287,0.5992592592592593,0.5644396654719236,0.051009979916104314,21,0.546973803071364,0.6247064137308039,0.6109756097560975,0.567163504968383,0.6070788530465949,0.5913796369146487,0.029323849397616758,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.6,0.5936842105263158,0.003157894736842115,9,0.594059405940594,0.594059405940594,0.594059405940594,0.594059405940594,0.5921052631578947,0.5936685773840542,0.0007816571130797367,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.7499999999999999,0.7450413223140495,0.002479338842975176,5,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.7453416149068323,0.743801652892562,0.7450336225039782,0.0006159848057081252
